"id","groups_count","uniq_cities","triggers_words_count","photos_count","max_percent_photos_in_day","posts_count","max_percent_posts_in_day","posts_without_views","societies_flag","group_without_photo_count","bot_flag"
2637,104,0,0,5,20,0,0,0,true,0,false
2638,116,0,2,14,14.2857151,3,33.3333359,0,false,3,false
2639,54,0,0,1,100,0,0,0,false,0,false
2640,72,0,0,9,11.1111116,10,10,0,false,0,false
2641,166,0,1,66,10.606061,90,2.22222233,0,true,2,false
2642,84,0,0,3,33.3333359,5,20,0,true,1,false
2643,21,0,0,83,4.81927681,59,5.08474541,0,true,0,false
2644,69,0,0,20,10,6,16.6666679,0,false,0,false
2645,57,0,0,26,23.0769234,19,5.26315784,0,true,0,false
2646,747,13,0,55,3.63636351,1458,3,0,false,15,false
2647,154,0,0,0,0,34,5.88235283,0,false,0,false
2648,267,0,1,22,9.090909,26,7.69230795,0,false,2,false
2649,232,0,1,35,5.71428585,23,8.69565201,0,true,1,false
2650,130,0,0,18,11.1111116,22,9.090909,0,false,0,false
2651,62,0,2,14,7.14285755,6,33.3333359,0,true,1,false
2652,201,0,1,27,7.40740728,26,7.69230795,0,true,1,false
2653,232,0,1,24,12.5,87,3.4482758,0,false,2,false
2654,66,0,0,32,6.25,26,3.84615397,0,true,0,false
2655,126,0,0,21,9.52380943,78,3.84615397,0,false,7,false
2656,41,0,0,2,50,2,50,0,true,0,false
2657,880,13,3,354,4,1525,17,0,false,38,true
2658,45,0,0,2,50,0,0,0,true,0,false
2659,175,0,3,160,11.875,153,4,0,true,0,false
2660,202,0,0,10,20,16,12.5,0,false,2,false
2661,517,20,2,324,26.4999981,2211,5,0,false,6,false
2662,213,0,2,225,5.5,166,2,0,true,4,false
2663,49,0,0,11,9.090909,3,33.3333359,0,true,1,false
2664,239,0,0,2,50,2,50,0,true,8,false
2665,92,0,0,5,20,3,33.3333359,0,true,0,false
2666,44,0,0,27,7.40740728,16073,6,0,true,0,false
2667,179,0,2,171,9.35672569,3656,3,0,false,2,false
2668,43,0,0,58,6.89655161,45,4.44444466,0,false,0,false
2669,490,0,0,14,14.2857151,1,100,0,true,4,false
2670,97,0,0,21,28.5714302,3,33.3333359,0,false,1,false
2671,177,0,0,7,14.2857151,2,50,0,true,0,false
2672,447,0,1,40,2.5,1214,2,0,true,4,false
2673,158,0,1,1577,94.5,1515,3,0,true,1,true
2674,244,0,2,31,41.935482,942,22,0,false,22,false
2675,146,0,0,65,21.5384617,152,2,0,false,1,false
2676,121,0,0,9,11.1111116,53,3.77358484,0,false,2,false
2677,177,0,0,14,14.2857151,5,20,0,false,2,false
2678,195,0,2,35,5.71428585,6840,4,0,true,14,false
2679,30,0,0,6,16.6666679,2,50,0,false,0,false
2680,62,0,0,167,11.3772449,68,4.41176462,0,false,1,false
2681,216,0,0,28,7.14285755,9,11.1111116,0,true,0,false
2682,43,0,0,2,50,0,0,0,true,0,false
2683,66,0,0,1,100,1,100,0,false,0,false
2684,135,0,0,2,50,13,15.3846159,0,false,0,false
2685,75,0,1,5,20,20,5,0,false,0,false
2686,378,0,1,17,11.7647057,16,12.5,0,true,8,false
2687,52,0,0,9,11.1111116,3,33.3333359,0,false,0,false
2688,166,0,1,42,7.14285755,18,5.55555582,0,true,0,false
2689,29,0,0,3,33.3333359,0,0,0,true,0,false
2690,184,0,0,8,12.5,8,12.5,0,false,3,false
2691,72,0,0,12,8.33333397,9,11.1111116,0,true,10,false
2692,130,0,1,36,5.55555582,18,5.55555582,0,false,2,false
2693,112,0,0,2,50,5,20,0,true,0,false
2694,390,0,0,70,10,1948,3,0,true,1,false
2695,68,0,1,93,12.9032249,78,2.56410265,0,false,1,false
2696,346,0,2,6,16.6666679,31,6.45161247,0,false,39,true
2697,108,0,1,34,29.4117661,21,4.76190472,0,true,0,false
2698,229,0,0,49,6.12244892,243,3,0,true,0,false
2699,268,0,0,37,5.40540552,170,2,0,false,3,false
2700,44,0,2,151,13.9072847,88,5.68181849,1,false,0,false
2701,49,0,0,26,3.84615397,5772,7,0,true,0,false
2702,213,0,0,93,6.45161247,89,3.37078643,0,true,2,false
2703,72,0,0,1,100,8,12.5,0,false,0,false
2704,183,0,0,57,31.5789452,1189,6,1,false,0,false
2705,42,0,1,122,11.4754095,25,8,0,true,0,false
2706,124,0,2,641,14,2867,6,0,true,0,false
2707,51,0,0,37,10.810811,87,2.29885054,0,false,1,false
2708,163,0,0,17,11.7647057,9,11.1111116,0,false,6,false
2709,463,0,1,1,100,7,14.2857151,0,false,8,false
2710,118,0,0,124,13.7096777,160,3,0,true,3,false
2711,162,0,1,19,10.5263157,15,6.66666698,0,true,1,false
2712,429,0,3,38,26.3157902,2669,21,50,false,30,true
2713,101,0,0,12,25,8,12.5,0,false,1,false
2714,44,0,0,425,2,533,2,0,false,1,false
2715,63,0,16,22,4.5454545,7,28.5714302,0,false,60,true
2716,1505,88,18,971,38,4111,6,0,false,112,true
2717,659,38,21,222,5,301,3,0,true,64,true
2718,291,27,15,1,100,287,7,0,false,61,true
2719,388,15,6,119,4.20168066,543,6,0,false,42,true
2720,100,0,7,1,100,11,63.636364,0,false,23,true
2721,107,0,22,778,8.5,3229,5,0,true,53,true
2723,88,0,0,53,32.07547,851,19,0,true,17,false
2724,104,0,2,27,7.40740728,44,6.81818199,0,false,11,false
2725,22,0,0,6,16.6666679,5,20,0,false,2,false
2726,94,0,8,1,100,1,100,0,false,27,true
2727,62,0,0,293,6,1524,21,0,false,5,false
2728,107,0,1,61,3.27868843,236,13,0,false,15,false
2729,1313,61,44,112,8.9285717,125,45,0,false,273,true
2730,625,28,26,11,54.5454559,8,100,0,false,111,true
2731,542,39,27,0,0,0,0,0,false,142,true
2732,1516,62,52,3,33.3333359,3453,44,0,false,340,true
2733,16,0,0,121,14.8760338,160,7,0,false,2,false
2734,1401,34,14,1637,17,6654,4,1,false,124,true
2735,252,21,13,0,0,2,50,0,false,79,true
2736,53,0,1,39,15.3846159,902,10,0,false,8,false
2737,220,13,6,19,10.5263157,924,6,0,false,40,true
2738,934,44,27,63,1.58730173,1897,10,0,false,169,true
2739,569,41,64,185,7.02702713,524,8,1,false,174,true
2740,1549,48,39,368,8,141,6,0,false,262,true
2741,220,0,22,5,40,576,17,0,false,164,true
2742,200,18,16,12,58.3333321,30,23.333334,0,false,47,true
2743,282,0,9,12,16.6666679,520,18,0,true,52,true
2744,416,24,24,2,50,20,10,0,false,103,true
2745,724,14,3,2,50,2,50,0,false,74,true
2746,362,28,3,4,25,6,16.6666679,0,true,71,true
2747,95,0,19,0,0,0,0,0,false,32,true
2748,1197,53,97,0,0,5,20,0,false,305,true
2749,469,0,3,455,64,1236,23,0,false,80,true
2750,1129,49,99,0,0,40,7.50000048,0,false,297,true
2751,1413,66,80,0,0,293,97,0,false,372,true
2752,21,0,0,113,9.73451328,109,11,0,false,3,false
2753,98,0,3,216,14.5,425,15.000001,0,true,21,false
2754,1810,61,52,219,6.5,207,7,0,false,374,true
2755,7,0,2,57,10.5263157,31,16.1290321,0,false,3,false
2722,119,0,5,29,86.2068939,210,6,96,false,5,false
2756,3178,44,69,241,7,6673,8,0,false,895,true
2757,926,35,24,1,100,1,100,0,true,184,true
2758,112,0,5,5,20,58,10.3448277,0,false,23,false
2759,849,29,33,2,50,0,0,0,false,181,true
2760,535,23,29,1,100,15,6.66666698,0,false,109,true
2761,239,0,4,73,15.0684938,636,56,0,false,22,false
2762,874,34,28,4,25,18,27.7777786,0,false,172,true
2763,1876,69,68,4,50,1936,35,0,false,415,true
2764,306,0,15,103,28.1553383,194,8,0,false,109,true
2765,3724,131,237,4,50,22,54.5454559,0,false,866,true
2766,77,0,0,11,9.090909,6,16.6666679,0,true,16,false
2767,1613,67,76,1,100,0,0,0,false,357,true
2768,586,16,15,419,5,19453,23,0,true,75,true
2769,1408,30,21,4,50,8,12.5,0,false,207,true
2770,1963,70,61,179,29.6089382,34,20.5882359,0,false,388,true
2771,1053,43,28,1,100,229,38,0,false,227,true
2772,980,54,6,324,5.5,898,6,0,false,81,true
2773,51,0,2,1,100,7,100,0,false,11,true
2774,3336,136,95,98,24.4897957,7403,10,9,false,247,true
2775,2930,124,173,1,100,7,57.1428604,0,false,705,true
2776,979,53,34,111,13.5135126,751,5,0,false,153,true
2777,158,0,2,2,50,2,50,0,false,27,true
2778,89,15,6,10,70,133,68,0,false,31,true
